date,4-week moving average,13-week moving average
2023-01-06,,
2023-01-13,,
2023-01-20,,
2023-01-27,,
2023-02-03,4.357256959336175,
2023-02-10,2.912309871808505,
2023-02-17,2.7138495981815502,
2023-02-24,2.79287315464547,
2023-03-03,2.92330276352446,
2023-03-10,3.9445794708877546,
2023-03-17,4.658267459833043,
2023-03-24,4.845159073911454,
2023-03-31,5.761924742697255,
2023-04-07,5.936154128093896,4.415200134303343
2023-04-14,6.664211638328821,4.455755606038769
2023-04-20,5.4608349160791825,4.402535965573984
2023-04-28,4.761079772190091,4.459417061338966
2023-05-05,4.452210021007752,4.444423480640847
2023-05-12,3.9355304105826328,4.774220826842401
2023-05-18,3.556423665206321,4.665307010808251
2023-05-26,2.9347366645086304,4.503753884477102
2023-06-02,3.5220647776660785,4.631005520398612
2023-06-09,6.814708043905404,5.656007850730793
2023-06-16,7.49530312354536,5.530231154501286
2023-06-23,9.197643216500362,5.819873840489698
2023-06-27,8.531963173161316,5.466677445895329
2023-07-07,4.080411032075881,5.083032192950809
2023-07-14,5.049513104383174,5.036084795679052
2023-07-21,3.886840776852263,5.331387195541981
2023-07-28,3.2738454328002264,5.003702514708008
2023-08-04,3.647754577939133,4.833345780173337
2023-08-11,2.5145586960628075,4.592125725259355
2023-08-18,1.2010493286423118,4.588355320078286
2023-08-25,0.6611346590405409,4.2845461893931125
2023-09-01,0.9784817983627958,4.033955601074801
2023-09-08,0.9602478579852969,2.793696107436805
2023-09-15,1.439254249168842,2.7388221850122685
2023-09-22,2.472787844320923,2.2648057046681602
2023-09-29,2.7391609688520946,2.292872671973112
2023-10-06,2.239863505555584,2.2309166987258378
2023-10-13,2.5685460607874244,1.9860529907686164
2023-10-20,2.199210548695363,1.7507414693357592
2023-10-27,2.409922713629742,2.02880922921147
2023-11-03,3.2265241926263677,2.1028988215517685
2023-11-10,2.8430676292716006,2.086500210532649
2023-11-17,3.102736128377037,2.3352674317676403
2023-11-24,3.028515412208921,2.7611989791878733
2023-12-01,3.1537618381504373,2.774682621639779
2023-12-08,2.665841182611439,2.61407856925413
2023-12-15,2.6124022837557215,2.697976109220157
2023-12-22,2.431172394287451,2.7483563806298905
2023-12-29,3.0373612916472004,2.866376223276479
2024-01-05,3.455411141099729,2.987927576554217
2024-01-12,3.597016199292069,3.0137341940545292
2024-01-19,2.4316848836080096,2.8202147461540816
2024-01-26,1.9371196518785494,2.7200158092062665
2024-02-02,2.602948569463659,2.79609998567234
2024-02-09,2.395078494719116,2.8754539293412096
2024-02-16,2.9282257723243443,2.7666349842615956
2024-02-23,3.3594724550910726,2.821431136360175
2024-03-01,3.8476967284849506,3.008384475295345
2024-03-08,5.290339278926215,3.677581652667361
2024-03-15,5.5062730283448325,3.6498254741978764
2024-03-22,4.528758293881774,3.4647610509510374
2024-03-29,4.518686582796083,3.461799288277234
2024-04-05,2.5200610292661185,3.388256299915793
2024-04-09,2.0220009903507474,3.16238456252238
2024-04-19,1.6086100987023677,3.2082383119732993
2024-04-26,1.8646191292930103,3.439152198823714
2024-05-03,2.1048218482019543,3.233553174806736
2024-05-10,2.2485377073206747,3.116934685233419
2024-05-17,2.554271587940038,3.0927170634257317
2024-05-24,2.496293973334729,3.1725820620810197
2024-05-31,3.1860784003576947,3.030734311391692
2024-06-07,3.0434572146242678,2.434794604466828
2024-06-14,3.963840478001157,2.6266129236721003
2024-06-21,1.861633746249658,2.355316630613169
2024-06-28,2.2888358392409325,2.3493382142908636
2024-07-05,2.4601178520599287,2.4163621588373374
2024-07-12,2.1776439690339933,2.674761463711728
2024-07-19,2.295569689129384,2.567745739123106
2024-07-26,1.5525829150830672,2.2527677385859812
2024-08-02,2.357418567160807,2.4942547030645024
2024-08-09,2.2192199479211583,2.6657021119699698
2024-08-16,2.9235510684737065,2.681243765887764
2024-08-23,3.810530746463159,2.654409764234611
2024-08-29,3.4519388517812333,2.5754370956365014
2024-09-06,2.9106862180076076,2.6249810950415453
2024-09-13,3.03010347134951,2.3965978375570796
