dates,Sequential inflation,3-month moving average
2003-01-01,,
2003-02-01,1.5721622471439156,
2003-03-01,2.1669590341554024,
2003-04-01,1.050398949601039,1.5954829236786372
2003-05-01,0.8795602198900632,1.3640357094792943
2003-06-01,-0.4953928465272983,0.4757987536130548
2003-07-01,-0.6372597829333859,-0.0866984995647524
2003-08-01,-0.5110732538330498,-0.5479289086509409
2003-09-01,1.0173247381144224,-0.04648846759942593
2003-10-01,1.076877056536052,0.5250137756905415
2003-11-01,1.6375653546414126,1.243537319703969
2003-12-01,0.4561778122876836,1.055721276821897
2004-01-01,0.17391304347826875,0.7538956981073319
2004-02-01,0.15432098765431057,0.2613758258529719
2004-03-01,1.0496918335901384,0.45844259619558514
2004-04-01,0.44791765939198314,0.5499535060791372
2004-05-01,0.2656546489563594,0.5871975273312735
2004-06-01,-0.5582891748675323,0.05080172329630095
2004-07-01,0.16176610524312185,-0.04429539274720673
2004-08-01,0.3230096902906876,-0.025239778962016235
2004-09-01,0.7859848484848664,0.42323867488420763
2004-10-01,2.7623790284694083,1.284957176321666
2004-11-01,1.6640760720489922,1.7342694260786606
2004-12-01,0.28779566507779464,1.566366941097086
2005-01-01,-0.02690341673392549,0.6389852981051547
2005-02-01,-0.17940437746680749,0.026973567213595118
2005-03-01,0.026959022286132672,-0.059821149082806
2005-04-01,0.8085526906836726,0.21780061046441368
2005-05-01,0.8733624454148492,0.5688878904924755
2005-06-01,-0.2915451895043719,0.4620311219657669
2005-07-01,-1.2227538543328031,-0.217327270342893
2005-08-01,0.6637961966271977,-0.28647528490216567
2005-09-01,1.0693281055070392,0.16512384769900024
2005-10-01,2.1160289190618853,1.2812066557769342
2005-11-01,1.7613538249007243,1.6479733505638805
2005-12-01,0.41574749703037206,1.4283918460042955
2006-01-01,0.5745669623996585,0.9154414465747607
2006-02-01,0.05880870368812907,0.34947581273174766
2006-03-01,0.16792611251050804,0.2668551977701661
2006-04-01,1.5171835708298387,0.5791258659014531
2006-05-01,2.097266947403198,1.2575588514945668
2006-06-01,0.03234937323088882,1.21185437462763
2006-07-01,0.7357102433503071,0.9514774648102131
2006-08-01,-1.0353130016051315,-0.09174069530186735
2006-09-01,1.1840077852566688,0.2902071893228442
2006-10-01,1.4025807485773756,0.5110277179411815
2006-11-01,1.6598166297818517,1.4152819731807043
2006-12-01,0.01554968123151923,1.0233933138161122
2007-01-01,0.932835820895539,0.8671556921378443
2007-02-01,0.3696857670979492,0.43864737302132806
2007-03-01,1.0742786985880937,0.7918067421687658
2007-04-01,1.4196781050713758,0.9536008996777312
2007-05-01,0.5090201362377478,1.0002942885499522
2007-06-01,-0.7447680047665162,0.39071758819120284
2007-07-01,-1.170556014106705,-0.47131487552282136
2007-08-01,-0.03796218965911313,-0.6521924671781032
2007-09-01,1.1089169071851757,-0.037531905642074204
2007-10-01,2.0883413461538547,1.0493604081215802
2007-11-01,2.4576894775570235,1.8833902334217667
2007-12-01,0.05027291008330437,1.5265576048578033
2008-01-01,0.696288852200122,1.0629800502781395
2008-02-01,1.5540347875677263,0.7649843549883739
2008-03-01,0.9827319949459623,1.077056900711404
2008-04-01,1.9463367162519063,1.4935962257236257
2008-05-01,1.6432565116596187,1.5233104004680031
2008-06-01,-0.8921982961024866,0.8910587574832984
2008-07-01,0.45349939082171,0.39617374301792463
2008-08-01,-0.6064281382656245,-0.3500533526793692
2008-09-01,0.20337604230222794,0.015791017429567233
