dates,GDP,C,G,I,Inventories,X,M
1968-04-01,6.9,3.64,0.55,-0.15,2.77,0.34,-0.3
1968-07-01,3.1,4.42,0.3,0.94,-2.79,1.42,-1.17
1968-10-01,1.6,1.07,0.1,1.45,-0.74,-0.47,0.17
1969-01-01,6.4,2.65,0.25,1.77,2.21,-2.35,1.88
1969-04-01,1.2,1.52,-0.3,0.32,-0.72,3.86,-3.47
1969-07-01,2.7,1.15,0.19,0.92,0.5,-0.36,0.27
1969-10-01,-1.9,1.88,-1.28,-1.44,-1.86,0.54,0.23
1970-01-01,-0.6,1.47,-0.48,-0.31,-1.63,0.28,0.07
1970-04-01,0.6,1.1,-1.11,-1.31,1.46,0.84,-0.4
1970-07-01,3.7,2.14,0.4,1.03,0.02,0.09,0.05
1970-10-01,-4.2,-0.59,0.06,-0.04,-3.38,0.05,-0.32
1971-01-01,11.3,4.81,-1.31,1.29,6.02,0.24,0.26
1971-04-01,2.2,2.25,-0.21,2.32,-0.47,-0.16,-1.55
1971-07-01,3.3,1.94,-0.05,1.13,-0.29,1.08,-0.48
1971-10-01,0.9,3.97,-0.66,1.76,-3.58,-2.07,1.52
1972-01-01,7.6,3.21,0.51,2.96,1.58,2.31,-3.02
1972-04-01,9.4,4.61,0.41,1.27,2.88,-0.65,0.87
1972-07-01,3.8,3.67,-1.72,0.8,0.29,1.26,-0.46
1972-10-01,6.9,5.64,0.77,3.0,-2.43,0.93,-1.03
1973-01-01,10.3,4.46,0.84,2.76,1.63,1.68,-1.1
1973-04-01,4.4,-0.11,-0.59,0.52,2.72,1.17,0.73
1973-07-01,-2.1,0.83,-1.0,-0.24,-2.44,0.06,0.69
1973-10-01,3.9,-0.7,0.63,-0.62,3.42,1.34,-0.21
1974-01-01,-3.4,-2.1,1.52,-1.4,-2.76,0.37,0.98
1974-04-01,1.0,0.9,0.43,-0.87,0.63,1.51,-1.65
1974-07-01,-3.7,1.08,0.2,-1.09,-2.7,-1.81,0.59
1974-10-01,-1.5,-3.48,0.45,-3.62,3.92,0.85,0.35
1975-01-01,-4.8,2.06,1.03,-3.65,-7.92,0.24,3.46
1975-04-01,2.9,4.05,-0.74,-0.7,-1.2,-1.01,2.48
1975-07-01,7.0,3.55,1.75,1.53,3.01,-0.55,-2.26
1975-10-01,5.5,2.65,0.82,1.22,0.56,1.76,-1.51
1976-01-01,9.3,4.92,0.18,2.53,3.73,-0.22,-1.84
1976-04-01,3.0,2.23,-0.98,1.01,1.72,0.31,-1.33
1976-07-01,2.2,2.57,-0.24,0.71,-0.46,0.92,-1.3
1976-10-01,2.9,3.21,-0.02,3.1,-2.62,0.33,-1.08
1977-01-01,4.8,2.98,0.76,2.39,0.75,-0.51,-1.54
1977-04-01,8.0,1.41,0.81,3.69,1.53,0.85,-0.3
1977-07-01,7.4,2.35,0.35,0.98,2.97,0.24,0.51
1977-10-01,0.0,3.61,-0.23,1.29,-3.18,-1.0,-0.49
1978-01-01,1.3,1.32,-0.03,0.72,0.97,0.66,-2.36
1978-04-01,16.4,5.45,2.13,5.27,0.41,3.19,-0.07
1978-07-01,4.1,1.0,0.73,2.09,0.4,0.34,-0.47
1978-10-01,5.5,1.95,0.73,1.7,0.32,1.28,-0.49
1979-01-01,0.7,1.23,-0.79,0.64,-0.5,0.03,0.1
1979-04-01,0.4,-0.18,0.77,-0.52,0.44,0.09,-0.18
1979-07-01,3.0,2.32,0.24,1.33,-2.73,1.22,0.62
1979-10-01,1.0,0.56,0.52,-0.8,-0.66,2.19,-0.81
1980-01-01,1.3,-0.4,1.18,-1.11,0.55,1.0,0.04
1980-04-01,-8.0,-5.48,0.18,-6.39,-0.3,0.73,3.25
1980-07-01,-0.5,2.66,-1.15,0.86,-5.81,-0.07,3.03
1980-10-01,7.7,3.38,0.0,2.81,3.73,-0.19,-2.07
1981-01-01,8.1,0.89,1.11,0.75,6.21,0.82,-1.71
1981-04-01,-2.9,0.04,0.16,0.62,-3.94,0.26,-0.07
1981-07-01,4.9,1.15,-0.26,0.08,4.25,-0.8,0.46
1981-10-01,-4.3,-1.63,1.05,-0.17,-2.64,0.17,-1.08
1982-01-01,-6.1,1.8,-0.05,-2.0,-5.33,-1.62,1.13
1982-04-01,1.8,0.75,0.34,-2.32,2.27,0.19,0.61
1982-07-01,-1.5,1.64,0.68,-1.73,1.11,-1.57,-1.65
1982-10-01,0.2,4.34,1.3,-0.04,-5.34,-1.53,1.43
1983-01-01,5.4,2.52,0.81,1.44,0.91,0.49,-0.79
1983-04-01,9.4,5.21,0.73,2.53,3.42,0.1,-2.58
1983-07-01,8.2,4.6,1.49,3.83,0.57,0.47,-2.73
1983-10-01,8.6,4.1,-1.3,3.93,3.01,0.63,-1.76
1984-01-01,8.1,2.21,0.92,2.29,4.94,0.65,-2.96
1984-04-01,7.1,3.57,1.82,2.87,-0.29,0.76,-1.63
1984-07-01,3.9,1.88,0.69,1.48,0.21,0.66,-1.02
1984-10-01,3.3,3.22,1.74,1.36,-2.43,0.6,-1.16
1985-01-01,3.9,4.22,0.92,0.72,-2.86,0.07,0.87
1985-04-01,3.6,2.29,1.85,0.99,0.35,-0.08,-1.83
1985-07-01,6.3,4.76,1.93,-0.28,-0.15,-0.43,0.42
1985-10-01,3.0,0.52,0.35,1.4,1.41,0.78,-1.45
1986-01-01,3.8,2.16,0.66,0.21,-0.17,0.83,0.1
1986-04-01,1.8,2.7,1.75,0.0,-1.3,0.27,-1.6
1986-07-01,3.9,4.43,1.87,-0.34,-1.63,0.62,-1.07
1986-10-01,2.2,1.55,-0.34,0.54,-0.29,1.03,-0.32
1987-01-01,3.0,0.25,0.53,-1.3,3.29,0.03,0.2
1987-04-01,4.4,3.47,0.7,1.07,-1.0,1.18,-1.05
1987-07-01,3.5,2.91,0.13,1.23,-1.2,1.29,-0.84
1987-10-01,7.0,0.57,1.33,-0.01,4.97,1.16,-0.98
1988-01-01,2.1,4.45,-0.67,0.06,-3.69,1.75,0.2
1988-04-01,5.4,1.9,0.29,1.39,0.33,0.94,0.51
1988-07-01,2.4,2.25,0.03,0.33,0.05,0.67,-0.97
1988-10-01,5.4,2.91,1.62,0.84,0.28,1.05,-1.25
1989-01-01,4.1,1.19,-0.34,0.62,1.8,1.03,-0.17
1989-04-01,3.1,1.19,1.26,0.09,-0.8,1.53,-0.18
1989-07-01,3.0,2.46,0.75,1.2,-1.84,0.37,0.07
1989-10-01,0.8,1.11,0.42,-0.91,0.37,0.54,-0.74
1990-01-01,4.4,2.17,1.33,0.8,-0.1,1.56,-1.31
1990-04-01,1.5,0.77,0.13,-1.35,1.38,0.46,0.07
1990-07-01,0.3,1.0,0.13,-0.56,-0.74,0.28,0.16
1990-10-01,-3.6,-1.96,0.55,-1.69,-1.97,0.33,1.14
1991-01-01,-1.9,-1.0,0.49,-1.78,-0.26,0.24,0.45
1991-04-01,3.2,2.11,0.35,0.17,-0.12,1.38,-0.73
1991-07-01,2.0,1.27,-0.23,0.05,1.16,0.91,-1.13
1991-10-01,1.4,-0.12,-0.61,0.24,1.91,0.87,-0.89
1992-01-01,4.9,4.83,0.77,0.64,-1.81,0.72,-0.28
1992-04-01,4.4,1.78,-0.14,1.96,1.44,0.03,-0.66
1992-07-01,4.0,2.77,0.55,0.7,-0.19,0.83,-0.64
1992-10-01,4.2,3.08,0.01,1.78,0.14,0.2,-0.97
1993-01-01,0.7,0.98,-1.01,0.46,1.04,0.09,-0.88
1993-04-01,2.3,2.35,0.01,1.11,-0.72,0.46,-0.86
1993-07-01,1.9,2.88,0.11,0.96,-1.38,-0.1,-0.56
1993-10-01,5.6,2.31,0.3,2.52,0.87,1.22,-1.67
1994-01-01,3.9,2.98,-0.97,0.73,1.83,0.38,-1.0
1994-04-01,5.5,2.05,0.4,1.29,2.09,1.3,-1.59
1994-07-01,2.4,1.98,1.3,0.52,-1.66,1.46,-1.24
1994-10-01,4.7,2.83,-0.66,1.57,1.24,0.93,-1.25
1995-01-01,1.4,0.66,0.28,1.39,-0.7,0.78,-0.98
1995-04-01,1.2,2.28,0.26,-0.06,-1.44,0.58,-0.43
1995-07-01,3.5,2.38,-0.19,0.92,-1.33,1.83,-0.15
1995-10-01,2.7,1.82,-0.78,1.28,0.41,0.62,-0.61
1996-01-01,3.0,2.41,0.51,1.7,-0.58,0.53,-1.54
1996-04-01,6.8,2.85,0.96,2.12,1.26,0.73,-1.06
1996-07-01,3.6,1.58,0.01,1.55,1.66,0.35,-1.52
1996-10-01,4.2,2.08,0.52,1.1,-1.18,2.63,-0.92
1997-01-01,2.6,2.74,-0.38,1.29,0.14,0.83,-2.01
1997-04-01,6.8,1.21,0.96,1.34,3.14,1.77,-1.59
