dates,Real GDP growth,Consumption (private),Consumption (public),Net exports,Inventories/discrepancy,Fixed investment
1998-01-01,,,,,,
1998-04-01,-1.6809305588232348,-1.5886907032535384,0.666007908061559,0.14829629937397265,0.9337703431862362,-1.8403144061914647
1998-07-01,-0.25886827051933015,0.6693647822502002,-0.43253652508264345,0.051173338524466885,-0.1317533832644223,-0.41511648294693254
1998-10-01,-2.9034285303560003,-1.639805687003496,0.6114223471202272,0.9625683955183983,-2.1669888000118296,-0.6706247859793003
1999-01-01,-0.20267885544889008,2.6324091651828057,0.43162775075867704,0.30023987460262413,-2.254734665902502,-1.312220980090491
1999-04-01,-0.8270787519377265,0.7773656955528094,-0.3855089510277364,-3.3306748765647742,1.710954254056073,0.4007851260458971
1999-07-01,0.23446336220427355,-1.8003517269620475,0.14913900219554163,0.42154525597308057,1.1571164620587462,0.3070143689389532
1999-10-01,1.6181565752556804,0.38527362217579925,0.5159663961881252,-0.31215961710726536,0.017381024108745938,1.0116951498902835
2000-01-01,2.261105219436188,2.7583411410372274,-0.11666447806011788,0.5699417799991716,-2.445563409712325,1.4950501861722363
2000-04-01,2.736817984167561,0.6600919455751222,0.5191549420552652,-0.36568928025574154,0.5335661040563318,1.3896942727365804
2000-07-01,1.777789823210374,0.5976510921175333,0.1404931751955096,0.24230329011194723,0.013695051179450133,0.7836472146059387
2000-10-01,1.5314603712654362,-1.0831229067816484,0.005300490062221027,-1.143328128184341,4.013852427742489,-0.26124151157329084
2001-01-01,-2.9764617432669227,-2.631431055821,-0.44071745244490723,5.2078957671211645,-1.975600574033747,-3.136608428088438
2001-04-01,-6.943292230352849,-4.483767622434274,0.32935610879093713,3.25683568244718,-2.681398941319403,-3.36431745783728
2001-07-01,0.9274678500509559,1.925009200314571,-0.10167391757513082,-1.503214901046287,0.7264593960858079,-0.11911192772799761
2001-10-01,-1.659696461058513,-0.2597081585822231,0.4834060083017549,-0.5797591724793008,-0.4274646906503936,-0.8761704476483535
2002-01-01,6.046992545293528,1.018799619803889,0.0958853264545898,-1.48457892304282,3.3038658159100605,3.1130207061678035
2002-04-01,2.462755113670667,2.111126982416977,0.3790679037813939,0.5178562501459537,-1.4843476258870334,0.9390516032133661
2002-07-01,1.255529594831306,3.015209800627125,0.18855334673188365,-0.48100597756622665,-2.2416162983560763,0.7743887233945981
2002-10-01,1.9314006885303492,-0.8609803931427391,0.03066774395376492,-0.7733278016437173,2.157987453395658,1.3770536859673743
2003-01-01,0.9614231490407077,1.9177090644853012,-0.3391823172583031,-1.264370262116752,1.3954155681534819,-0.7481489042230149
2003-04-01,-0.05819406080765921,0.3085706066980093,0.37046971965225484,-0.915368158029148,-0.7842871922574436,0.9624209631286693
2003-07-01,3.3706076415678687,1.2371299753247054,0.21966548257586826,0.7602265617906206,-1.1555640537829617,2.3091496756596435
2003-10-01,2.61163481853226,3.427449259856425,-0.5455761539493093,-2.469409459482449,-0.1531525956840397,2.3523237677916304
2004-01-01,2.355524691527333,1.4237697331127663,0.843544571303694,-0.5337441414449797,-1.6424231062053114,2.2643776347611557
2004-04-01,3.131398876523228,2.5842022004776024,-0.11143836380841757,-0.32752915086076556,-0.04048040129586673,1.0266445920106686
2004-07-01,1.158269574034243,-1.0134530500927819,0.19311948500923276,1.0662876789871203,0.9864062466356524,-0.07409078650497762
2004-10-01,1.7268571630778995,-0.39722436618641255,1.0810559662476462,0.1735065097427038,0.7783016965804753,0.09121735669348743
