dates,Policy rate,Inflation,Inflation expectation
1978-06-01,,52.727272727272734,
1978-07-01,,56.14035087719298,
1978-08-01,,49.152542372881356,
1978-09-01,,36.76470588235294,
1978-10-01,,37.681159420289866,
1978-11-01,,37.5,
1978-12-01,,36.11111111111109,
1979-01-01,,39.18918918918921,
1979-02-01,,38.15789473684208,
1979-03-01,,39.240506329113934,
1979-04-01,,47.5609756097561,
1979-05-01,,47.058823529411775,
1979-06-01,,55.952380952380935,
1979-07-01,,57.30337078651686,
1979-08-01,,65.90909090909089,
1979-09-01,,67.74193548387095,
1979-10-01,,75.78947368421053,
1979-11-01,,71.71717171717171,
1979-12-01,,81.63265306122449,
1980-01-01,,90.29126213592231,
1980-02-01,,126.6666666666667,
1980-03-01,,134.54545454545453,
1980-04-01,,125.61983471074379,
1980-05-01,,140.79999999999998,
1980-06-01,,125.95419847328246,
1980-07-01,,115.71428571428571,
1980-08-01,,108.21917808219182,
1980-09-01,,101.28205128205127,
1980-10-01,,95.20958083832333,
1980-11-01,,94.70588235294119,
1980-12-01,,86.51685393258428,
1981-01-01,,82.65306122448979,
1981-02-01,,54.20168067226889,
1981-03-01,,41.86046511627908,
1981-04-01,,36.630036630036635,
1981-05-01,,26.578073089700993,
1981-06-01,,29.054054054054056,
1981-07-01,,34.105960264900645,
1981-08-01,,33.22368421052631,
1981-09-01,,33.12101910828025,
1981-10-01,,30.368098159509227,
1981-11-01,,28.70090634441087,
1981-12-01,,30.12048192771084,
1982-01-01,,31.28491620111733,
1982-02-01,,31.062670299727515,
1982-03-01,,34.42622950819671,
1982-04-01,,32.975871313672926,
1982-05-01,,30.708661417322823,
1982-06-01,,32.460732984293195,
1982-07-01,,26.419753086419774,
1982-08-01,,28.148148148148167,
1982-09-01,,27.990430622009566,
1982-10-01,,29.176470588235293,
1982-11-01,,31.924882629107977,
1982-12-01,,34.49074074074075,
1983-01-01,,28.936170212765955,
1983-02-01,,29.10602910602911,
1983-03-01,,28.861788617886177,
1983-04-01,,29.63709677419355,
1983-05-01,,29.919678714859433,
1983-06-01,,29.64426877470354,
1983-07-01,,29.49218749999998,
1983-08-01,,30.635838150289008,
1983-09-01,,30.841121495327116,
1983-10-01,,34.244080145719494,
1983-11-01,,36.12099644128113,
1983-12-01,,37.17728055077452,
1984-01-01,,35.973597359735976,
1984-02-01,,34.78260869565217,
1984-03-01,,36.1198738170347,
1984-04-01,,42.61275272161742,
1984-05-01,,48.53168469860898,
1984-06-01,,56.09756097560976,
1984-07-01,,55.80693815987936,
1984-08-01,,56.194690265486734,
1984-09-01,,54.42857142857142,
