dates,Portfolio investment,Direct investment,Other investment,Financial account
1992-01-01,,,,
1992-02-01,,,,
1992-03-01,0.07466666666666667,0.055,-0.12033333333333333,0.009333333333333334
1992-04-01,0.08866666666666667,0.08233333333333333,-0.051,0.12
1992-05-01,0.14433333333333334,0.074,0.09666666666666666,0.315
1992-06-01,0.31,0.06466666666666668,0.15966666666666665,0.5343333333333333
1992-07-01,0.3403333333333333,0.04033333333333334,0.25266666666666665,0.6333333333333334
1992-08-01,0.3233333333333333,0.07466666666666667,0.19133333333333336,0.5893333333333334
1992-09-01,0.18966666666666665,0.08466666666666667,0.03833333333333334,0.3126666666666667
1992-10-01,0.10333333333333333,0.08533333333333333,-0.07933333333333333,0.10933333333333332
1992-11-01,0.116,0.057666666666666665,-0.073,0.10066666666666667
1992-12-01,0.22933333333333333,0.05533333333333334,0.075,0.3596666666666667
1993-01-01,0.252,0.043333333333333335,0.211,0.5063333333333333
1993-02-01,0.5266666666666666,0.04833333333333333,0.416,0.991
1993-03-01,0.328,0.03133333333333333,0.578,0.9373333333333334
1993-04-01,0.329,0.05433333333333334,0.4396666666666667,0.823
1993-05-01,-0.03266666666666666,0.045,0.5866666666666667,0.599
1993-06-01,0.08766666666666667,0.06666666666666667,0.579,0.7333333333333334
1993-07-01,0.308,0.058,0.465,0.831
1993-08-01,0.3396666666666667,0.05566666666666666,0.473,0.8683333333333334
1993-09-01,0.21433333333333335,0.045,0.4333333333333333,0.6926666666666667
1993-10-01,0.07766666666666668,0.048,0.4333333333333333,0.559
1993-11-01,0.5353333333333333,0.05266666666666667,0.287,0.875
1993-12-01,0.5656666666666667,0.06433333333333333,-0.025666666666666667,0.6043333333333334
1994-01-01,0.5753333333333334,0.043,0.058,0.6763333333333333
1994-02-01,0.15066666666666667,0.044333333333333336,-0.409,-0.214
1994-03-01,0.45566666666666666,0.017,-0.19966666666666666,0.273
1994-04-01,0.39866666666666667,0.025,-0.39566666666666667,0.028
1994-05-01,0.35133333333333333,0.02766666666666667,-0.504,-0.125
1994-06-01,-0.024333333333333332,0.03966666666666666,-0.8416666666666667,-0.8263333333333334
1994-07-01,-0.076,0.04533333333333334,-0.9573333333333334,-1.065
1994-08-01,-0.13266666666666665,0.04733333333333334,-0.7146666666666667,-0.877
1994-09-01,-0.09566666666666668,0.044,-0.668,-0.7966666666666666
1994-10-01,-0.09266666666666667,0.050333333333333334,-0.4023333333333333,-0.4446666666666667
1994-11-01,0.011333333333333334,0.05533333333333334,-0.24666666666666665,-0.21633333333333335
1994-12-01,0.033,0.08566666666666667,-0.15133333333333335,-0.069
1995-01-01,0.0033333333333333335,0.06633333333333333,0.17366666666666666,0.207
1995-02-01,-0.062,0.067,0.4716666666666667,0.4766666666666667
1995-03-01,-0.281,0.042,1.19,0.951
1995-04-01,-0.194,0.041666666666666664,1.2926666666666669,1.101
1995-05-01,-0.3006666666666667,0.042333333333333334,1.0106666666666666,0.713
1995-06-01,-0.10033333333333333,0.041,0.695,0.5573333333333333
1995-07-01,0.105,0.051333333333333335,0.2916666666666667,0.409
1995-08-01,0.36133333333333334,0.034666666666666665,0.4093333333333333,0.7663333333333334
1995-09-01,0.4613333333333333,0.053,0.161,0.638
1995-10-01,0.247,0.05366666666666666,0.172,0.4353333333333333
1995-11-01,-0.014,0.05333333333333334,-0.23033333333333333,-0.22833333333333333
1995-12-01,0.01,0.12133333333333333,-0.756,-0.6246666666666666
1996-01-01,0.12766666666666668,0.10666666666666667,-0.36133333333333334,-0.127
1996-02-01,0.3843333333333333,0.111,-0.059,0.4363333333333333
1996-03-01,0.2683333333333333,0.07066666666666667,0.5496666666666666,0.8886666666666666
1996-04-01,0.3596666666666667,0.08733333333333333,0.5673333333333334,1.0143333333333333
1996-05-01,0.264,0.08833333333333333,0.639,0.9913333333333334
1996-06-01,0.2813333333333333,0.031,0.6823333333333333,0.9946666666666666
1996-07-01,-0.13033333333333336,0.03666666666666667,0.17066666666666666,0.077
1996-08-01,-0.17833333333333334,0.035333333333333335,-0.03266666666666666,-0.17566666666666667
1996-09-01,-0.12266666666666667,0.04533333333333334,-0.03866666666666666,-0.116
1996-10-01,-0.148,0.028666666666666667,0.079,-0.04033333333333334
1996-11-01,-0.166,0.044,0.2826666666666667,0.16066666666666665
1996-12-01,-0.23066666666666666,0.057,0.234,0.060333333333333336
1997-01-01,0.20933333333333334,0.06533333333333333,0.12566666666666668,0.4003333333333333
1997-02-01,0.3933333333333333,0.05633333333333333,-0.095,0.3546666666666667
1997-03-01,0.3,0.042333333333333334,-0.025333333333333333,0.317
1997-04-01,-0.052333333333333336,0.04766666666666666,0.376,0.3713333333333333
1997-05-01,-0.04833333333333333,0.041,0.8586666666666666,0.8513333333333334
1997-06-01,0.09133333333333332,0.043,0.8853333333333334,1.0196666666666667
1997-07-01,0.16166666666666665,0.03866666666666666,0.8246666666666667,1.025
1997-08-01,0.067,0.042,0.5566666666666666,0.6656666666666666
1997-09-01,0.26766666666666666,0.037333333333333336,0.57,0.875
1997-10-01,0.5056666666666667,0.017,0.5716666666666667,1.1036666666666668
1997-11-01,0.23566666666666666,0.018333333333333333,0.4126666666666667,0.676
1997-12-01,-0.10066666666666667,0.062,0.14066666666666666,0.11133333333333333
1998-01-01,-0.284,0.06633333333333333,0.13833333333333334,-0.07033333333333333
1998-02-01,0.233,0.07666666666666667,0.139,0.462
1998-03-01,0.316,0.02766666666666667,0.7626666666666666,1.1196666666666668
1998-04-01,0.4553333333333333,0.030333333333333334,0.9653333333333334,1.4643333333333333
1998-05-01,0.29133333333333333,0.014666666666666666,1.3206666666666667,1.64
1998-06-01,0.15966666666666665,0.04566666666666666,0.9386666666666666,1.1573333333333333
1998-07-01,-0.24766666666666665,0.066,0.39666666666666667,0.23233333333333334
1998-08-01,-1.377,0.069,-0.014666666666666666,-1.3036666666666668
1998-09-01,-2.3386666666666667,0.051666666666666666,-1.3876666666666668,-3.6513333333333335
1998-10-01,-2.3553333333333333,0.04733333333333334,-0.0013333333333333333,-2.285
1998-11-01,-1.3013333333333332,0.042,0.11333333333333333,-1.1233333333333333
1998-12-01,-0.367,0.066,1.3683333333333332,1.0943333333333332
1999-01-01,-0.07,0.03133333333333333,0.22866666666666666,0.21666666666666665
1999-02-01,0.026333333333333334,0.05466666666666666,0.018333333333333333,0.12566666666666668
1999-03-01,0.395,0.030333333333333334,-0.03166666666666667,0.42
1999-04-01,0.4573333333333333,0.06866666666666667,0.085,0.637
1999-05-01,0.3666666666666667,0.074,0.002,0.469
1999-06-01,0.21233333333333335,0.06066666666666667,-0.17833333333333334,0.12066666666666667
1999-07-01,0.05266666666666667,0.033,-0.20933333333333334,-0.098
1999-08-01,0.135,-0.0036666666666666666,0.04066666666666666,0.19766666666666666
1999-09-01,-0.021666666666666667,-0.064,0.24666666666666665,0.187
1999-10-01,-0.20933333333333334,-0.04,0.498,0.09866666666666667
1999-11-01,0.13266666666666665,-0.07166666666666667,0.4876666666666667,0.39866666666666667
1999-12-01,0.5726666666666667,0.019,0.542,0.882
2000-01-01,1.1403333333333332,-0.022,0.333,1.367
2000-02-01,0.8553333333333334,0.009666666666666665,0.45966666666666667,1.236
2000-03-01,0.697,-0.006666666666666667,0.4886666666666667,1.1916666666666667
2000-04-01,0.581,0.013666666666666666,0.62,1.2273333333333332
2000-05-01,0.35,-0.006333333333333333,0.681,0.94
