dates,Exports,Imports
1987-01-01,,
1987-04-01,,
1987-07-01,,
1987-10-01,,
1988-01-01,,
1988-04-01,,
1988-07-01,,
1988-10-01,,
1989-01-01,,
1989-04-01,,
1989-07-01,,
1989-10-01,,
1990-01-01,,
1990-04-01,,
1990-07-01,,
1990-10-01,,
1991-01-01,,
1991-04-01,,
1991-07-01,,
1991-10-01,,
1992-01-01,,
1992-04-01,,
1992-07-01,,
1992-10-01,,
1993-01-01,,
1993-04-01,,
1993-07-01,,
1993-10-01,,
1994-01-01,,
1994-04-01,,
1994-07-01,,
1994-10-01,,
1995-01-01,17.82556693139413,16.339584728734096
1995-04-01,17.969701827508818,16.604280218018598
1995-07-01,16.5816343068296,15.629963372338013
1995-10-01,20.686217388489677,21.46274357480417
1996-01-01,19.414481324438924,20.570124503740516
1996-04-01,18.22849021537116,20.15939652345031
1996-07-01,18.272689683688235,17.99428020122666
1996-10-01,21.791734120559944,21.68682347712916
1997-01-01,19.518720303203423,21.250574776707957
1997-04-01,20.655951783023607,20.209163457782243
1997-07-01,20.90833055960946,19.4546432137645
1997-10-01,23.65134218844686,23.972271811585895
1998-01-01,20.069414376335885,21.450897919630524
1998-04-01,21.00306129095291,20.59325094888177
1998-07-01,19.391359667440437,18.042764595615733
1998-10-01,22.090657866360395,19.45838996524347
1999-01-01,19.776549838358235,17.023038105681913
1999-04-01,18.267630023287754,19.397782687446508
1999-07-01,17.41852697839338,17.164479887385294
1999-10-01,20.00952390114383,21.22168884100216
2000-01-01,18.808331436376054,22.42622686868799
2000-04-01,20.28030140247274,23.273973495703736
2000-07-01,19.690945773115434,20.505131430979695
2000-10-01,20.7475606392332,23.709401451548953
2001-01-01,21.455843439798805,20.60774069511713
2001-04-01,28.13278664528818,21.981822678580745
2001-07-01,29.308705000763332,22.681013535975847
2001-10-01,28.654361686972717,24.615878287471457
2002-01-01,23.03793234593609,21.853514197319406
2002-04-01,23.02897316018924,21.631455181090956
2002-07-01,27.58268622092909,22.431723907444905
2002-10-01,26.474867501938153,25.000148707140124
2003-01-01,24.715625662820017,26.23174544569
2003-04-01,22.185341097308942,22.701167314492743
2003-07-01,22.931817729137077,20.130975965140493
2003-10-01,23.15159125085764,24.273017228408953
2004-01-01,21.622027596916208,25.207500394655877
2004-04-01,24.168820618861236,25.93307078786364
2004-07-01,24.68110389464571,23.472002165771332
2004-10-01,24.484156136818903,26.060725450622694
2005-01-01,22.92653723288228,25.77273273991584
2005-04-01,22.604499036426557,25.150011628808436
2005-07-01,21.84035318429457,22.008255280319908
2005-10-01,21.329510650249272,24.277855958414722
2006-01-01,21.292170751283958,26.232461192212877
2006-04-01,22.823736428683716,27.91015167419713
2006-07-01,23.54901943592936,25.41102290697712
2006-10-01,22.73873964901967,25.668359871953264
2007-01-01,23.84374251002794,28.33311614011365
2007-04-01,23.184487973853233,26.895898558126415
2007-07-01,21.47816964689867,23.896755330384956
2007-10-01,20.66986127651251,24.80643721691705
2008-01-01,24.45199583665755,28.952188526505832
2008-04-01,24.144605027491696,28.976276186574392
2008-07-01,23.625071163602954,25.716019448860294
2008-10-01,23.55001448128053,24.0789480797822
2009-01-01,25.691623768388702,24.0188760148987
2009-04-01,22.624049351437463,23.209840394360654
2009-07-01,24.08182147076572,22.567965571535368
2009-10-01,22.936299341649978,23.476697831611517
2010-01-01,21.82647837656878,25.329956214070705
2010-04-01,22.803006854952958,26.155510050028173
2010-07-01,21.07662450375647,23.757701187258284
2010-10-01,20.86730159275382,26.251590944360036
2011-01-01,22.64720403201177,31.409530301675336
2011-04-01,22.42560452006547,30.85535896016921
2011-07-01,24.793703715411088,29.409653363374865
2011-10-01,23.772204614042877,29.35042461915377
2012-01-01,24.601380217278468,31.189943962919255
2012-04-01,25.902179042733028,30.224851579111508
2012-07-01,25.25523977401762,26.543544509808036
2012-10-01,24.129869143214968,26.28610072565198
2013-01-01,23.923256111791353,29.30720852362464
2013-04-01,24.693961741078898,29.72024159478689
2013-07-01,24.714135171624257,27.082166622901358
2013-10-01,24.211048340062447,28.786759730362856
2014-01-01,27.21108871975012,30.905983991231373
2014-04-01,26.114113410588295,29.56608336341272
2014-07-01,26.253147655122625,26.104824909843764
2014-10-01,23.984109478365475,27.9143037931694
2015-01-01,25.038780980139546,28.05286713777313
2015-04-01,25.615722484162934,28.24397093148617
2015-07-01,26.904980753374016,24.905605513786597
2015-10-01,23.59318191838389,25.67722183928193
2016-01-01,24.18729744600443,26.769101626773203
2016-04-01,23.387649330054973,26.41517714212606
2016-07-01,23.548130250906254,22.894845987346116
2016-10-01,23.49300085014444,25.164920966648967
2017-01-01,28.06064605236121,30.90342502834797
2017-04-01,26.554938797982263,30.27960821675934
2017-07-01,26.384805477894137,27.673252618111167
2017-10-01,25.55759163173797,29.873969728093527
2018-01-01,25.712290261243226,31.881406556677153
2018-04-01,28.490127336669705,32.59421395025375
2018-07-01,36.68181013195398,30.90521968383171
2018-10-01,34.24793627444151,29.373624763457634
2019-01-01,31.92877079400454,30.87197773689125
2019-04-01,34.279875349261985,31.20201941726893
2019-07-01,34.79500965529928,27.349114205415283
2019-10-01,31.10904762472826,29.220684407837872
2020-01-01,30.684166517541293,32.9600548112164
2020-04-01,23.992863482440782,29.14928010558156
2020-07-01,27.33389651405066,29.923008442990202
2020-10-01,31.934645060429162,34.04958027927846
2021-01-01,30.43840032589417,32.392131439721844
2021-04-01,33.970655889081584,34.83087349060114
2021-07-01,34.67177970038752,30.74770652000381
2021-10-01,38.89647432288439,38.825276791950834
2022-01-01,40.95477106535994,48.72143715923065
2022-04-01,39.72384241561914,42.94192393952159
2022-07-01,39.40855899171567,40.98505228174731
2022-10-01,34.38417032190759,37.901230062021995
2023-01-01,32.007870746191664,39.99049286849476
2023-04-01,31.86387136664253,33.99861669802029
2023-07-01,33.46569700606144,32.911505222131396
2023-10-01,30.486004513481955,30.967676225870292
2024-01-01,28.63014253783944,30.4822693841394
2024-04-01,28.39811667670833,28.59308421283159
2024-07-01,28.081546200778728,24.345574858111103
2024-10-01,25.70220983201924,25.949000450038636
2025-01-01,25.326967579182785,27.40274233886056
2025-04-01,25.3928502824875,26.780707862130985
