dates,Retail sales,Industrial Production
1986-01-01,,
1986-02-01,,
1986-03-01,,
1986-04-01,,
1986-05-01,,
1986-06-01,,
1986-07-01,,
1986-08-01,,
1986-09-01,,
1986-10-01,,
1986-11-01,,
1986-12-01,,
1987-01-01,,8.427586446045975
1987-02-01,,16.416977640241505
1987-03-01,,7.111709224486962
1987-04-01,,12.582924929883399
1987-05-01,,16.02759922156043
1987-06-01,,11.108664174461701
1987-07-01,,3.2602773237259797
1987-08-01,,7.525888346068732
1987-09-01,,11.13443144102848
1987-10-01,,9.67590518253003
1987-11-01,,14.088540419121841
1987-12-01,,13.779900212302865
1988-01-01,,15.848386804471005
1988-02-01,,12.730570569318411
1988-03-01,,11.17821515233215
1988-04-01,,9.017719227988795
1988-05-01,,5.3037387927704405
1988-06-01,,-1.9919726475397748
1988-07-01,,13.56245221455261
1988-08-01,,-1.876598822392972
1988-09-01,,-1.7284012791781045
1988-10-01,,-0.5335187923118823
1988-11-01,,-8.809491595011599
1988-12-01,,-3.3858952365285577
1989-01-01,,-8.731400281583868
1989-02-01,,-2.961819072894223
1989-03-01,,0.6872635561160134
1989-04-01,,-6.238073429509205
1989-05-01,,-0.5048676773673377
1989-06-01,,7.8780524799029195
1989-07-01,,3.4999881468838145
1989-08-01,,5.757748151079656
1989-09-01,,11.069885667724066
1989-10-01,,2.0628890225358187
1989-11-01,,9.361234043641753
1989-12-01,,5.362884983046401
1990-01-01,,10.666196153555308
1990-02-01,,8.522012578616355
1990-03-01,,13.367245191404509
1990-04-01,,20.54696245039178
1990-05-01,,8.250338367202392
1990-06-01,,7.6439270382243185
1990-07-01,,3.136094403496159
1990-08-01,,4.295924858735933
1990-09-01,,11.910913839083847
1990-10-01,,15.380045799039955
1990-11-01,,14.129458437815789
1990-12-01,,7.988549530207534
1991-01-01,,-7.697143351721691
1991-02-01,,3.8096116189422657
1991-03-01,,4.8162925382520205
1991-04-01,,0.04220780591164264
1991-05-01,,11.074463126949418
1991-06-01,,0.7279630097265066
1991-07-01,,5.685719742563622
1991-08-01,,7.53381651178644
1991-09-01,,1.4966048097497797
1991-10-01,,2.240473007199739
1991-11-01,,0.6607803110422417
1991-12-01,,4.160128609114655
1992-01-01,,20.805326068717743
1992-02-01,,2.476706859581368
1992-03-01,,-1.282622972085512
1992-04-01,,2.583715504402506
1992-05-01,,0.7637499193079877
1992-06-01,,5.369693197437697
1992-07-01,,4.358168308509569
1992-08-01,,0.11260979454967845
1992-09-01,,3.0128483745567314
1992-10-01,,3.205841502936191
1992-11-01,,3.1543454712785968
1992-12-01,,1.3168210757048993
1993-01-01,,5.520808226061447
1993-02-01,,6.849388565367587
1993-03-01,,2.619929532929799
1993-04-01,,7.943754189852248
1993-05-01,,4.023639734293227
1993-06-01,,8.75595318672393
1993-07-01,,8.341454770975453
1993-08-01,,5.059241113832935
1993-09-01,,5.904272938058952
1993-10-01,,6.619788141595717
1993-11-01,,3.118683678625578
1993-12-01,,14.055707485060264
1994-01-01,,8.60637173486336
1994-02-01,,-3.2909094420517926
1994-03-01,,0.20728457210541507
1994-04-01,,-10.163376031577908
1994-05-01,,-9.838412920807704
1994-06-01,,-16.149546246633626
1994-07-01,,-14.636820839543985
1994-08-01,,-2.754381790784366
1994-09-01,,-6.87160469004241
1994-10-01,,-5.577678950379217
1994-11-01,,-2.3042586098647844
1994-12-01,,-11.307269872619162
1995-01-01,,-9.546318179711754
1995-02-01,,-1.4594108836744946
1995-03-01,,-1.6492556386173418
1995-04-01,,13.040159126669405
1995-05-01,,13.136638803268475
1995-06-01,,23.03041753259023
1995-07-01,,19.20487698671891
1995-08-01,,13.171501504685313
1995-09-01,,6.145197789807866
1995-10-01,,0.8047935835398423
1995-11-01,,11.117076095347445
1995-12-01,,18.36746954174444
1996-01-01,,12.743795985765338
1996-02-01,,7.868401960108784
1996-03-01,,8.408110895463006
1996-04-01,,4.505616544230739
1996-05-01,,4.222120758162928
1996-06-01,,3.6825786825786855
1996-07-01,,2.701695682985461
1996-08-01,,0.9890644423225847
1996-09-01,,4.268807159753507
1996-10-01,,16.10230282162537
1996-11-01,,6.055444469130311
1996-12-01,,0.2865872433149397
1997-01-01,,-0.13911997874750393
1997-02-01,,9.586899832415252
1997-03-01,,14.029903293706969
1997-04-01,,10.195912300793776
1997-05-01,,10.93201254172731
1997-06-01,,9.421812847349553
1997-07-01,,9.766316912680084
1997-08-01,,13.831168831168839
1997-09-01,,14.98065508982469
1997-10-01,,5.29608020599206
1997-11-01,,3.4891299287742594
1997-12-01,,6.452559768416366
1998-01-01,,11.620100389938614
1998-02-01,,9.691820276497687
1998-03-01,,6.777729238995844
1998-04-01,,3.7756195775763057
1998-05-01,,6.238413535601461
1998-06-01,,0.29294797836889597
1998-07-01,,1.8262650352550702
1998-08-01,,-0.8048996069532244
1998-09-01,,0.5347391968229864
1998-10-01,,-2.0371915112262884
1998-11-01,,-2.2424147005240425
1998-12-01,,-8.962059337155603
1999-01-01,,-5.885857822461538
1999-02-01,,-5.561182067680692
1999-03-01,,-4.973422580962694
