dates,Capital,Core capital,Risk weighted Assets (RHS)
2002-12-01,25.11900801712157,,
2003-01-01,26.17690959552106,,
2003-02-01,27.75370027406273,,
2003-03-01,26.582139922342034,,
2003-04-01,28.45802047854611,,
2003-05-01,29.912820888040965,,
2003-06-01,29.565730393377017,,
2003-07-01,29.684248643140755,,
2003-08-01,31.61908880580678,,
2003-09-01,31.33274561044467,,
2003-10-01,30.544645867629267,,
2003-11-01,30.82038057958844,,
2003-12-01,30.932394451729706,,113.45599626219337
2004-01-01,32.50575132722936,,110.77598376331083
2004-02-01,32.669089093375945,,114.22317207849773
2004-03-01,32.077122189820365,,116.76682327898948
2004-04-01,29.41444624912294,,126.42564943785118
2004-05-01,27.136420272719608,,137.25244375620426
2004-06-01,24.88979924422234,,144.14179976962225
2004-07-01,25.118113222419613,,141.5564196600378
2004-08-01,25.204242446716265,,150.48182376195973
2004-09-01,25.984104881802665,,150.29039807730655
2004-10-01,27.040146275745947,,152.07977151470678
2004-11-01,27.353017368075943,,150.80122787721618
2004-12-01,28.23925300538448,,145.82570278533188
2005-01-01,28.953775561790163,,149.53085327383243
2005-02-01,29.672824971360328,,145.85979161270595
2005-03-01,27.82860694189968,,144.49943906088137
2005-04-01,26.355187160154337,,140.10589954946988
2005-05-01,26.51108592032446,,134.3426515449284
2005-06-01,25.038345808038294,,133.0149249268331
2005-07-01,25.057907149202514,,135.77454566546373
2005-08-01,24.528855579832904,,135.08575886541004
2005-09-01,22.826290491464388,,134.85124426331623
2005-10-01,23.138242144412416,,127.21973053232318
2005-11-01,24.130286596883526,,128.32052611348522
2005-12-01,23.72645620526254,,133.93834691653245
2006-01-01,24.047548354566736,,132.7915783894898
2006-02-01,23.86608625480596,,137.59172869525528
2006-03-01,23.093776411350973,,138.4171447585045
2006-04-01,22.65867649918148,,137.01785788719826
2006-05-01,19.152696198770094,,147.28632448260177
2006-06-01,18.394895608729126,,143.51246028008234
2006-07-01,19.57110846177618,,138.4151744882121
2006-08-01,20.2447297765562,,134.36734056093158
2006-09-01,20.257100659772888,,134.39520559933632
2006-10-01,20.967856946119145,,133.9880510597816
2006-11-01,22.17410589083972,,134.2730161543016
2006-12-01,21.903850377450613,,133.82567414076385
2007-01-01,22.698833455312133,,136.0008970290997
2007-02-01,22.74569321991923,,134.13864469513
2007-03-01,22.23267349851531,,131.32319077769344
2007-04-01,21.569617549795943,,132.12390344254118
2007-05-01,21.080826264064836,,123.21604855614707
2007-06-01,18.74692366187094,,141.1566805009152
2007-07-01,18.588265567038846,,146.39085269851645
2007-08-01,18.674150896932183,,147.7313425564699
2007-09-01,19.354160468804512,,144.02445664005558
2007-10-01,19.571689575239155,,146.4625579174802
2007-11-01,19.032424172786065,,149.77458865804513
2007-12-01,18.93960353323635,,148.4287926118058
2008-01-01,17.779522561158366,,159.4618687151982
2008-02-01,17.475041803551115,,161.15132752369132
2008-03-01,17.266127263287967,,160.9958777793799
2008-04-01,16.979096902212063,,159.2903931952495
2008-05-01,17.060359691826577,,156.03423011929368
2008-06-01,16.768145763124018,,137.36235719007948
2008-07-01,17.459985610884647,,132.91990974344782
2008-08-01,17.718485069773855,,131.7214864283393
2008-09-01,17.508202793980647,,135.34383955687872
2008-10-01,16.83018485999553,,137.03381762382057
2008-11-01,17.52722295521604,,130.38540817097964
2008-12-01,17.99445074669187,,126.10337817544679
2009-01-01,17.80434020297606,,118.08278507033205
2009-02-01,18.07230340798112,,114.43234463282926
2009-03-01,18.461637341087968,,112.17077041776025
2009-04-01,18.994929193276565,,109.30155485395107
2009-05-01,19.25988643908179,,109.91275419329524
2009-06-01,19.230968282317974,,108.41192939341171
2009-07-01,19.78293208549976,,108.15543172836539
2009-08-01,19.99112714450578,,108.60586952786686
2009-09-01,20.036510547949295,,107.97762854601956
2009-10-01,20.361726698671802,,104.32641807098089
2009-11-01,20.367594792855144,,106.77229329446331
2009-12-01,20.622734890775725,,108.43251049406624
2010-01-01,20.394517341312728,,108.82067119262904
2010-02-01,20.119970692634784,,111.51861266058344
2010-03-01,19.94730219372555,,114.05041808698331
2010-04-01,19.971395481995973,,116.78826674701146
2010-05-01,19.472890985072876,,119.32794344902993
2010-06-01,19.199518028780453,,120.30424964738569
2010-07-01,19.330749724893543,,121.8222717083896
2010-08-01,19.33857003158748,,122.23441292295246
2010-09-01,19.343189531254747,,122.92272574746028
2010-10-01,19.572353812674802,,123.62434838276153
2010-11-01,19.325100708687565,,124.96838365066564
2010-12-01,18.97215046719305,,129.69097390529782
2011-01-01,18.355534888627695,,130.48492687737485
2011-02-01,18.136819475086142,,129.51825258381783
2011-03-01,17.967255414253458,,129.14299077469798
2011-04-01,17.892906564623825,,129.8954794522571
2011-05-01,17.36059471443594,,131.56951527906992
2011-06-01,17.148854600502272,,131.6790001063855
2011-07-01,17.009494238214522,,133.86899222293732
2011-08-01,16.60750517753364,,136.08738036831275
2011-09-01,16.421448685198886,,136.9413965674077
2011-10-01,16.555304778637467,,136.12397704895017
2011-11-01,16.371949211557684,,135.23648627259576
2011-12-01,16.550604618650354,,131.5996965831121
2012-01-01,16.77898089304951,,127.60368658683822
2012-02-01,16.75907228988139,,126.81690870381783
2012-03-01,16.561804532410225,,127.30855237451047
2012-04-01,16.42164244402402,,127.56912825057198
2012-05-01,16.187287587771248,,125.24840774212815
2012-06-01,16.466664275102694,,122.27699269642078
2012-07-01,16.287520764255017,,123.74744733759316
2012-08-01,16.274789717598715,,121.57318348249429
2012-09-01,16.48819788982628,,118.43561086754787
2012-10-01,16.858552601637587,,119.27554337341144
2012-11-01,17.39471838961972,,116.06552894342185
2012-12-01,17.857914295504596,,115.21085017603816
2013-01-01,17.83506207067003,,116.56983055942946
2013-02-01,17.608827429718957,,117.60913457904812
2013-03-01,17.43246531961064,,117.05919208082494
2013-04-01,17.249414538400682,,117.257896296936
2013-05-01,16.78751611301274,,119.822493051846
2013-06-01,16.34242018060979,,122.3002697049403
2013-07-01,15.950753253510118,,122.62597136652322
2013-08-01,15.539432210337548,,123.97553054113801
2013-09-01,15.743836695113878,,125.78934092584255
2013-10-01,15.797794749991978,,126.21486697902895
2013-11-01,15.634508676291006,,129.10376825326313
2013-12-01,15.280040837734745,,132.91614889289275
2014-01-01,15.016066098726654,12.735886704639496,136.92514894184797
2014-02-01,15.440417636141133,13.189684473338684,130.90950375435233
2014-03-01,15.736294907867244,13.465379469707662,128.40629041215388
2014-04-01,16.067907896118484,13.824625195748402,126.44423222244492
2014-05-01,16.319238270634244,14.153312157892179,121.17404735055268
2014-06-01,16.298977738663055,14.100719922302678,120.45818911300516
2014-07-01,16.264293110864063,14.077814265684873,118.06567747306693
2014-08-01,16.2600994921475,14.071756001465593,115.87340366759496
2014-09-01,15.929167381972121,13.624789923229008,117.82752403999694
2014-10-01,16.383992805755394,14.082808076924996,115.5588793242397
2014-11-01,16.56049144007907,14.29974427686762,114.9515220911657
2014-12-01,16.28386115704706,14.027838188163166,113.79033198521542
2015-01-01,15.980823679275765,13.817299079396946,112.01461134703703
2015-02-01,15.716288959520048,13.499638446360557,116.42519775809706
2015-03-01,15.499377695815642,13.257152159345933,118.85276043996345
2015-04-01,15.099627227697493,12.859617102610944,121.65183730298578
2015-05-01,15.305345158496959,13.041030613319846,122.1704962703262
2015-06-01,15.367372986627977,13.063216179506853,121.63618610197493
2015-07-01,15.084609061222368,12.783359596470836,122.86956940294225
2015-08-01,14.820339453910261,12.524751624531321,125.48647708188105
2015-09-01,14.644363569061753,12.343173747128237,123.58564518714094
2015-10-01,15.297097619518937,13.02267928114771,122.41484605514754
2015-11-01,15.515711650768186,13.209238661155421,120.89757528463937
2015-12-01,15.569886557815622,13.263094946466694,118.31322589693785
2016-01-01,15.23191035577433,12.99196927576489,117.9670563787776
2016-02-01,15.375579540696036,13.093086850607008,116.67909325043462
2016-03-01,15.487542255947309,13.382217613100785,112.77124945652628
2016-04-01,15.76953439013764,13.634023693999438,110.11364915476942
2016-05-01,15.450721987927643,13.281375443175492,112.53567796994363
2016-06-01,15.82670813481179,13.620104177341554,110.66312768712811
2016-07-01,15.788853846133827,13.536692437985105,108.65938798579819
2016-08-01,16.03000820938294,13.797832353511,106.01767919638698
2016-09-01,16.02725062572219,13.787323503617003,105.1275882713907
2016-10-01,15.953345059146473,13.694560306496204,108.25058778301435
2016-11-01,15.269059701625062,12.967101785946355,113.9342533504325
2016-12-01,15.56789514877964,13.220354863072032,113.3411827464667
2017-01-01,15.169018634641112,12.82247211878998,116.401160958607
2017-02-01,15.916120634305592,13.514630529557273,111.35729403273989
2017-03-01,16.04531892523094,13.558868231892623,114.40214095966938
2017-04-01,16.382006771786646,13.921351252583847,113.58289850552808
2017-05-01,16.68217774610907,14.032882404032792,110.86860820777855
2017-06-01,16.87126787521918,14.158258869572274,111.13956777184637
2017-07-01,16.95042935294459,14.201933978418598,111.68915322888886
2017-08-01,17.175644470861286,14.416593761965904,111.38048556374143
2017-09-01,17.199477255163224,14.413166262491671,111.83615844533261
2017-10-01,16.877940370017605,14.021433263791911,114.54328290618321
2017-11-01,16.428430508462203,13.577700423256891,113.01559517987225
2017-12-01,16.84869591580455,14.092053371399563,111.42464011392674
2018-01-01,16.808059824237702,14.259127973533426,108.38725099479628
2018-02-01,16.707562171961733,14.054108429788798,113.96188624507077
2018-03-01,16.555573937655012,13.87330605389402,115.39499282423635
2018-04-01,16.409999301648206,13.735920305841057,118.56354077234754
2018-05-01,15.937631836662602,13.214207014076079,124.37323415757095
2018-06-01,16.26132601786713,13.474546037297841,124.00594822779618
2018-07-01,16.101390933926574,13.1793874754808,126.91133955771106
2018-08-01,17.332586168668673,13.770250934213621,128.42794491483613
2018-09-01,18.09249132453565,14.248697092285884,123.84210206528981
2018-10-01,18.186951896519385,14.490591611600404,118.1496619918417
2018-11-01,18.20336627499665,14.665298928269245,114.39920202259243
2018-12-01,17.29631883568767,13.790756705470486,120.08083894689194
2019-01-01,17.13134236814538,13.677781232668876,119.46269172194594
2019-02-01,17.02977062041133,13.593069937711535,120.39542691882508
2019-03-01,16.374431752614978,12.962789113196735,123.19283366093717
2019-04-01,16.887026734857482,12.686069572520148,124.0361875087155
2019-05-01,17.069510386191876,12.885167119365128,116.85848842481134
2019-06-01,17.725926738854746,13.476911703736222,115.43564682277486
2019-07-01,18.187808184276467,13.959279528969674,109.45215455105526
2019-08-01,17.93125359150111,13.670776698870446,111.09556675648737
2019-09-01,18.435751542120894,14.206713452038711,112.15954584433456
2019-10-01,18.48613685369557,14.242787204418814,115.01757515418495
2019-11-01,18.626063634237074,14.408181343017526,115.4342915687873
2019-12-01,18.40204043809673,14.215492386621603,115.28423739912235
2020-01-01,18.420979837348682,14.220986157299386,116.07594651145554
2020-02-01,17.709464120672646,13.677872125641583,118.90160098530886
2020-03-01,17.909537380122586,13.738884648815617,113.85872894714947
2020-04-01,18.739628689687475,14.328957726545251,107.89523098346321
2020-05-01,19.44566801255187,15.111676062346227,109.41218394404379
2020-06-01,19.51909466101441,15.1731174023293,112.28251816895913
2020-07-01,19.211252555087775,14.886047777558323,118.01923187629704
2020-08-01,19.279157375304873,14.810634922469362,116.01687673347718
2020-09-01,19.429803370683004,14.827414440714303,118.28976806762064
2020-10-01,19.4238676988394,14.669907816491905,118.43959280202496
2020-11-01,19.38366621393971,14.826478420302456,118.48478178793466
2020-12-01,18.73949471202302,14.451850255754728,119.4370372463867
2021-01-01,18.37260625459819,14.178581509468025,119.28704392849494
2021-02-01,18.173720338167037,14.072979893771825,116.19320397677373
2021-03-01,18.00084841535536,13.74903696085955,118.44212494267268
2021-04-01,17.92717065211797,13.737485785241077,122.93997602600284
2021-05-01,17.85980855628144,13.636643584287993,123.81128765088691
2021-06-01,17.80491860561078,13.609920835594044,123.69830479308912
2021-07-01,17.505812962642256,13.453949916005485,122.19276236830163
2021-08-01,17.323552418854675,13.378752204374585,123.94000211469599
2021-09-01,17.356727619003284,13.261162336465423,125.54007238455105
2021-10-01,17.37211509588301,13.149899706974178,126.35400634335261
2021-11-01,17.793468073327627,12.804178140328235,132.7319637303119
2021-12-01,18.390019956575866,13.43926074388762,130.355657712624
2022-01-01,18.530708702751202,13.670670757644935,129.841684897375
2022-02-01,19.046340400210113,14.170102497522741,130.84135356814988
2022-03-01,20.393542256972577,15.573758979171851,132.0998063612698
2022-04-01,20.37842345078863,15.73841361408074,135.5907203587126
2022-05-01,18.143924926380663,13.848587371962104,161.30852779907013
2022-06-01,18.049923731421185,13.795536990139666,163.17762958046464
2022-07-01,18.050963433129056,13.692376985248622,164.6358489364109
2022-08-01,18.69264863269226,14.418336123362781,165.87104130044614
2022-09-01,18.82455119480519,14.608138281596778,167.1431482815959
2022-10-01,19.237161563055853,15.051919489390592,168.4701418270367
2022-11-01,19.37622113287399,15.29289105991343,164.03459747807923
2022-12-01,19.462070698054106,15.485002320358287,166.92219587325056
2023-01-01,16.98027776837034,13.43662398285764,190.0575112765803
2023-02-01,17.13848799240264,13.63643492501363,189.32940313625483
2023-03-01,17.682914071997345,14.202931403771155,189.5767654282296
2023-04-01,16.97739651005323,13.597608676973701,187.82781923701475
2023-05-01,17.078306468145428,13.672293098511531,159.46770352137855
2023-06-01,17.96425657700146,14.08097473009484,158.94733381716662
2023-07-01,18.69777161920834,14.683448537681585,157.54371020747152
2023-08-01,18.519552279087513,14.669532917223382,158.44174013830224
2023-09-01,18.513346892357717,14.64021127619833,157.5612600828981
2023-10-01,18.435285701213424,14.568342461566052,156.81967050855113
2023-11-01,18.28600814251961,14.442775726095054,156.25429281606068
2023-12-01,19.06476347464467,15.2862745654564,154.2058777793072
2024-01-01,16.896256211071346,13.439108703436265,155.585169984926
2024-02-01,16.849616582655667,13.339176647264436,156.8428454045423
2024-03-01,17.015738908299483,13.362090512465347,156.54065542099133
2024-04-01,17.22208660773223,13.31137212048185,154.09308098282744
2024-05-01,16.96172817784392,13.257878516249924,154.79343079472426
2024-06-01,17.094964477905346,13.44790115543175,154.92609540980638
2024-07-01,17.015406377993163,13.350149864343077,156.08954679718934
2024-08-01,16.966170677082545,13.262377560268474,153.5686263491644
2024-09-01,18.201247907441516,14.294369354334197,144.69471257310727
2024-10-01,18.091077637445924,14.20300584937304,143.19340002014386
2024-11-01,18.293617646347666,14.445838493376836,141.65989425382656
2024-12-01,19.679054614416305,15.534073346632141,135.27108311181425
2025-01-01,17.657706510658837,13.962766785460659,131.9765160325596
2025-02-01,17.721786247225523,13.983373965714957,130.3078961676682
2025-03-01,17.625293221139792,13.752962137573155,129.86645645339382
2025-04-01,17.416825295729343,13.53634725840741,131.47267583207793
2025-05-01,17.513189565899896,13.672891482118764,130.48536627827977
2025-06-01,18.0276552499717,14.075455598082407,130.40049065185815
2025-07-01,18.203083343349753,14.139900464289088,129.29965450958431
2025-08-01,18.252926492416602,14.231104623405963,129.75196553617218
2025-09-01,18.546312693792316,14.390059928544604,138.04487253450665
