dates,Return to asset,Return to equity
2002-12-01,,
2003-01-01,,
2003-02-01,,
2003-03-01,,
2003-04-01,,
2003-05-01,,
2003-06-01,,
2003-07-01,,
2003-08-01,,
2003-09-01,,
2003-10-01,,
2003-11-01,3.5391666666666666,19.493333333333332
2003-12-01,1.9341666666666668,9.703333333333333
2004-01-01,1.9433333333333334,9.758333333333335
2004-02-01,1.9525,9.7875
2004-03-01,1.9625000000000001,9.795
2004-04-01,1.9408333333333332,9.633333333333333
2004-05-01,1.9033333333333333,9.380833333333333
2004-06-01,1.8741666666666665,9.214166666666667
2004-07-01,1.8499999999999999,9.049166666666666
2004-08-01,1.8075,8.7875
2004-09-01,1.758333333333333,8.578333333333333
2004-10-01,1.695,8.26
2004-11-01,1.663333333333333,8.005
2004-12-01,1.6375,7.805833333333333
2005-01-01,1.655833333333333,7.901666666666666
2005-02-01,1.6841666666666668,8.060833333333333
2005-03-01,1.7091666666666667,8.240833333333333
2005-04-01,1.765,8.589166666666667
2005-05-01,1.8316666666666668,8.9825
2005-06-01,1.8758333333333335,9.194166666666666
2005-07-01,1.9033333333333333,9.321666666666667
2005-08-01,1.9275,9.448333333333332
2005-09-01,1.9025,9.155833333333332
2005-10-01,1.8866666666666667,8.924166666666666
2005-11-01,1.844166666666667,8.675833333333333
2005-12-01,1.7908333333333335,8.374166666666666
2006-01-01,1.7808333333333335,8.324166666666667
2006-02-01,1.7633333333333334,8.257499999999999
2006-03-01,1.755,8.278333333333334
2006-04-01,1.7425,8.295833333333333
2006-05-01,1.7108333333333332,8.256666666666666
2006-06-01,1.6849999999999998,8.28
2006-07-01,1.6600000000000001,8.336666666666666
2006-08-01,1.6416666666666666,8.472499999999998
2006-09-01,1.6824999999999999,9.041666666666666
2006-10-01,1.7308333333333332,9.725
2006-11-01,1.7691666666666663,10.375
2006-12-01,1.8216666666666665,11.114166666666668
2007-01-01,1.8183333333333334,11.152500000000002
2007-02-01,1.8116666666666668,11.188333333333333
2007-03-01,1.8066666666666666,11.248333333333333
2007-04-01,1.8041666666666665,11.359166666666667
2007-05-01,1.8175000000000001,11.585833333333332
2007-06-01,1.844166666666667,11.936666666666667
2007-07-01,1.8675,12.285833333333334
2007-08-01,1.8808333333333334,12.595
2007-09-01,1.9000000000000001,12.936666666666667
2007-10-01,1.9116666666666664,13.225833333333334
2007-11-01,1.9283333333333335,13.563333333333333
2007-12-01,1.9366666666666665,13.876666666666665
2008-01-01,1.9349999999999998,13.858333333333334
2008-02-01,1.9316666666666666,13.826666666666666
2008-03-01,1.93,13.805
2008-04-01,1.9308333333333334,13.800833333333335
2008-05-01,1.9249999999999998,13.744166666666665
2008-06-01,1.906666666666667,13.582499999999998
2008-07-01,1.8816666666666666,13.378333333333332
2008-08-01,1.8508333333333333,13.118333333333332
2008-09-01,1.8066666666666666,12.768333333333333
2008-10-01,1.7441666666666666,12.303333333333333
2008-11-01,1.6783333333333335,11.829166666666666
2008-12-01,1.6058333333333332,11.326666666666666
2009-01-01,1.6066666666666667,11.336666666666666
2009-02-01,1.6108333333333331,11.388333333333334
2009-03-01,1.615,11.444166666666668
2009-04-01,1.6216666666666668,11.506666666666668
2009-05-01,1.6300000000000001,11.569166666666666
2009-06-01,1.6433333333333333,11.669166666666667
2009-07-01,1.6616666666666668,11.792500000000002
2009-08-01,1.6849999999999998,11.943333333333333
2009-09-01,1.7166666666666668,12.149999999999999
2009-10-01,1.7608333333333333,12.415833333333333
2009-11-01,1.8083333333333333,12.6775
2009-12-01,1.8691666666666666,13.025833333333333
2010-01-01,1.8716666666666668,13.025833333333333
2010-02-01,1.8716666666666668,12.984166666666667
2010-03-01,1.8775000000000002,12.959166666666667
2010-04-01,1.8816666666666666,12.909166666666666
2010-05-01,1.88,12.8175
2010-06-01,1.8725000000000003,12.681666666666667
2010-07-01,1.8583333333333334,12.491666666666665
2010-08-01,1.8391666666666666,12.265833333333333
2010-09-01,1.8208333333333335,12.050833333333335
2010-10-01,1.8016666666666667,11.82
2010-11-01,1.781666666666667,11.584166666666668
2010-12-01,1.7616666666666665,11.350833333333332
2011-01-01,1.7516666666666667,11.295833333333333
2011-02-01,1.7383333333333333,11.225000000000001
2011-03-01,1.7158333333333333,11.101666666666667
2011-04-01,1.6808333333333334,10.899166666666666
2011-05-01,1.6391666666666669,10.656666666666668
2011-06-01,1.5949999999999998,10.396666666666667
2011-07-01,1.5499999999999998,10.1325
2011-08-01,1.4949999999999999,9.810833333333333
2011-09-01,1.4366666666666665,9.469166666666666
2011-10-01,1.3741666666666668,9.114166666666666
2011-11-01,1.3091666666666668,8.751666666666667
2011-12-01,1.2416666666666665,8.365
2012-01-01,1.2425,8.371666666666666
2012-02-01,1.2408333333333335,8.37
2012-03-01,1.2366666666666666,8.359166666666667
2012-04-01,1.2333333333333334,8.351666666666667
2012-05-01,1.2316666666666667,8.358333333333333
2012-06-01,1.2291666666666667,8.35
2012-07-01,1.2266666666666668,8.339166666666666
2012-08-01,1.2333333333333334,8.376666666666667
2012-09-01,1.2383333333333333,8.395
2012-10-01,1.2458333333333333,8.415833333333333
2012-11-01,1.2566666666666668,8.448333333333332
2012-12-01,1.2675,8.465
2013-01-01,1.27,8.475
2013-02-01,1.2733333333333332,8.4775
2013-03-01,1.2758333333333334,8.463333333333333
2013-04-01,1.2783333333333333,8.446666666666667
2013-05-01,1.2816666666666665,8.428333333333333
2013-06-01,1.2841666666666667,8.409166666666666
2013-07-01,1.29,8.430833333333334
2013-08-01,1.2891666666666668,8.424166666666666
2013-09-01,1.285,8.4025
2013-10-01,1.2733333333333332,8.3475
2013-11-01,1.2533333333333332,8.244166666666667
2013-12-01,1.2258333333333333,8.12
2014-01-01,1.2149999999999999,8.065833333333332
2014-02-01,1.2008333333333334,8.005
2014-03-01,1.1816666666666666,7.93
2014-04-01,1.1575,7.8358333333333325
2014-05-01,1.1308333333333334,7.735833333333333
2014-06-01,1.1024999999999998,7.62
2014-07-01,1.0675,7.449999999999999
2014-08-01,1.0366666666666666,7.297499999999999
2014-09-01,1.0058333333333334,7.138333333333333
2014-10-01,0.975,6.970833333333334
2014-11-01,0.9441666666666667,6.8
2014-12-01,0.9175,6.638333333333333
2015-01-01,0.92,6.651666666666666
2015-02-01,0.9191666666666666,6.639166666666667
2015-03-01,0.9191666666666666,6.630833333333334
2015-04-01,0.9166666666666666,6.6066666666666665
2015-05-01,0.9125,6.574999999999999
2015-06-01,0.9066666666666667,6.5475
2015-07-01,0.8975,6.495833333333334
2015-08-01,0.88,6.387499999999999
2015-09-01,0.8616666666666667,6.2875000000000005
2015-10-01,0.8433333333333334,6.189166666666666
2015-11-01,0.8266666666666667,6.110833333333333
2015-12-01,0.8083333333333335,6.03
2016-01-01,0.8083333333333332,6.034166666666667
2016-02-01,0.81,6.055000000000001
2016-03-01,0.8116666666666666,6.073333333333334
2016-04-01,0.8175,6.119166666666666
