,shock
TUR,4.868136619109387
MEX,1.0487995146052143
CZE,2.0827992822353147
BRA 1/,-0.9345794392523366
IDN,-2.9151457572878736
CHL 1/,10.545947778908115
HDN 1/,4.611601502548068
BGR 1/,0.9279627803484569
MYS,9.980547658237327
KOR,8.478509009936207
ROU 1/,1.5277777777777946
IND 1/,10.34117193523516
THA,-2.051479062620054
POL 1/,-6.95697869742321
CHN,-11.461365182384874
COL,-4.081853409604285
